,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventory,Prepaid expenses and other current assets,Total current assets,"Operating lease vehicles, net","Solar energy systems, net","Property, plant and equipment, net",Operating lease right-of-use assets,"Digital assets, net","Goodwill and intangible assets, net",Other non-current assets,Total assets,Accounts payable,Accrued liabilities and other,Deferred revenue,Customer deposits,Current portion of debt and finance leases (1),Total current liabilities,"Debt and finance leases, net of current portion (1)","Deferred revenue, net of current portion",Other long-term liabilities,Total liabilities,Redeemable noncontrolling interests in subsidiaries,Convertible senior notes,Total stockholders' equity,Noncontrolling interests in subsidiaries,Total liabilities and equity,Vehicle and energy product financing (non-recourse),Other non-recourse debt,Recourse debt,Total debt excluding vehicle and energy product financing,Days sales outstanding,Days payable outstanding,Net income_x,"Depreciation, amortization and impairment",Stock-based compensation,Other,"Changes in operating assets and liabilities, net of effect of business combinations",Net cash provided by (used in) operating activities,Capital expenditures,"Purchases of solar energy systems, net of sales",Purchase of intangible assets,Receipt of government grants,"Business combinations, net of cash acquired",Net cash used in investing activities,Net cash flows from debt activities,Collateralized lease repayments,Net borrowings (repayments) under vehicle and solar financing,Net cash flows from noncontrolling interests - Auto,Net cash flows from noncontrolling interests - Solar,"Proceeds from issuances of common stock in public offerings, net of issuance costs",Other,Net cash (used in) provided by financing activities,Effect of exchange rate changes on cash and cash equivalents and restricted cash,Net increase in cash and cash equivalents and restricted cash,Cash and cash equivalents and restricted cash at beginning of period,Cash and cash equivalents and restricted cash at end of period,,Automotive sales,Automotive leasing,Total automotive revenue,Energy generation and storage,Services and other,Total revenues,Automotive sales cost of revenues,Automotive leasing cost of revenues,Total automotive cost of revenues,Energy generation and storage cost of revenues,Services and other cost of revenues,Total cost of revenues,Gross profit,Research and development,"Selling, general and administrative",Restructuring and other,Total operating expenses,Income from operations,Interest income,Interest expense,"Other (expense) income, net",Income before income taxes,Provision for income taxes,Net income_y,Net income attributable to noncontrolling interests and redeemable noncontrolling interests,Net income attributable to common stockholders,Net income used in computing net income per share of common stock - Basic,Net income per share of common stock - Diluted,Weighted average shares used in computing net income per share of common stock - Basic,Weighted average shares used in computing net income per share of common stock - Diluted,Date,Close
0,6268.0,,1324.0,3552.0,959.0,12103.0,2447.0,6138.0,10396.0,1218.0,,537.0,1470.0,34309.0,3771.0,3222.0,1163.0,726.0,1785.0,10667.0,11634.0,1207.0,2691.0,26199.0,643.0,,6618.0,849.0,34309.0,4183.0,355.0,7263.0,7618.0,,,132.0,577.0,281.0,204.0,231.0,1425.0,-412.0,-37.0,,46.0,,-403.0,-591.0,-87.0,478.0,19.0,6.0,,96.0,-79.0,14.0,957.0,5826.0,6783.0,,6143.0,225.0,6368.0,436.0,580.0,7384.0,4815.0,119.0,4934.0,385.0,674.0,5993.0,1391.0,345.0,699.0,-12.0,1032.0,359.0,10.0,-170.0,-25.0,174.0,42.0,132.0,27.0,105.0,0.12,0.11,902.0,935.0,2019-12-31,41.45544079032258
1,8080.0,,1274.0,4494.0,1045.0,14893.0,2527.0,6106.0,10638.0,1197.0,,516.0,1373.0,37250.0,3970.0,2825.0,1186.0,788.0,3217.0,11986.0,10666.0,1199.0,2667.0,26518.0,632.0,60.0,9173.0,867.0,37250.0,4022.0,708.0,7600.0,8308.0,,,68.0,553.0,211.0,175.0,-1447.0,-440.0,-455.0,-26.0,,1.0,,-480.0,544.0,-97.0,160.0,-8.0,-40.0,2309.0,160.0,2708.0,-24.0,1764.0,6783.0,8547.0,,4893.0,239.0,5132.0,293.0,560.0,5985.0,3699.0,122.0,3821.0,282.0,648.0,4751.0,1234.0,324.0,627.0,,951.0,283.0,8.0,-169.0,-54.0,70.0,12.0,68.0,52.0,16.0,0.02,0.02,994.0,1036.0,2020-03-31,54.09736511111111
2,8615.0,,1485.0,4018.0,1218.0,15336.0,2524.0,6069.0,11009.0,1274.0,,508.0,1415.0,38135.0,3638.0,3110.0,1130.0,713.0,3679.0,12270.0,10416.0,1198.0,2870.0,26754.0,613.0,44.0,9855.0,869.0,38135.0,4043.0,1415.0,7106.0,8521.0,,,129.0,567.0,347.0,167.0,-246.0,964.0,-546.0,-20.0,-5.0,,,-566.0,164.0,-71.0,18.0,-3.0,-42.0,,57.0,123.0,38.0,559.0,8547.0,9106.0,,4911.0,265.0,5179.0,370.0,487.0,6036.0,3714.0,145.0,3862.0,349.0,558.0,4769.0,1267.0,279.0,661.0,,940.0,327.0,6.0,-170.0,-15.0,151.0,29.0,122.0,18.0,104.0,0.11,0.1,928.0,994.0,2020-06-30,118.069135265625
3,14531.0,,1757.0,4218.0,1238.0,21744.0,2742.0,6025.0,11848.0,1375.0,,521.0,1436.0,45691.0,4958.0,3252.0,1258.0,708.0,3126.0,13302.0,10559.0,1233.0,3049.0,28143.0,608.0,48.0,16031.0,861.0,45691.0,4141.0,605.0,7448.0,8053.0,,,369.0,584.0,543.0,269.0,635.0,2400.0,-1005.0,-16.0,,,-13.0,-1039.0,-630.0,-56.0,99.0,-31.0,-49.0,4973.0,144.0,4450.0,86.0,5897.0,14506.0,15403.0,,7346.0,280.0,7611.0,579.0,581.0,8771.0,5361.0,148.0,5506.0,287.0,644.0,6708.0,2063.0,366.0,888.0,,1254.0,809.0,6.0,-163.0,-97.0,555.0,186.0,369.0,38.0,331.0,0.32,0.27,1036.0,1105.0,2020-09-30,170.650363703125
4,19384.0,,1886.0,4101.0,1346.0,26717.0,3091.0,5979.0,12747.0,1558.0,,520.0,1536.0,52148.0,6051.0,3855.0,1458.0,752.0,2132.0,14248.0,9556.0,1284.0,3330.0,28418.0,604.0,51.0,22225.0,850.0,52148.0,3930.0,630.0,5660.0,6290.0,16.0,58.0,296.0,618.0,633.0,230.0,1242.0,3019.0,-1151.0,-13.0,-5.0,122.0,,-1047.0,-2074.0,-16.0,-215.0,0.0,-46.0,4987.0,56.0,2692.0,234.0,4898.0,15903.0,20801.0,,9034.0,280.0,9314.0,752.0,678.0,10744.0,6922.0,148.0,7070.0,787.0,821.0,8678.0,2066.0,522.0,969.0,,1491.0,575.0,6.0,-246.0,44.0,379.0,109.0,270.0,32.0,270.0,0.28,0.24,1124.0,1198.0,2020-12-31,251.0619666557377
5,17141.0,,1890.0,4132.0,1542.0,24705.0,3396.0,5933.0,13868.0,1647.0,1331.0,505.0,1587.0,52972.0,6648.0,4073.0,1592.0,745.0,1819.0,14877.0,9053.0,1294.0,3283.0,28507.0,601.0,,23017.0,847.0,52972.0,4323.0,628.0,4483.0,5100.0,16.0,70.0,464.0,621.0,614.0,-46.0,-12.0,1641.0,-1348.0,-12.0,-1500.0,272.0,,6.0,,-2582.0,-1557.0,-6.0,396.0,-32.0,,183.0,-1016.0,-221.0,-2178.0,19901.0,17723.0,8705.0,297.0,9002.0,494.0,893.0,10389.0,6457.0,180.0,6617.0,595.0,962.0,8174.0,2215.0,666.0,1056.0,-101.0,1621.0,594.0,11.0,-99.0,28.0,533.0,69.0,464.0,26.0,438.0,0.46,0.39,951.0,1133.0,2021-03-31,217.0860856825397
6,16229.0,30.0,2129.0,4733.0,1602.0,24693.0,3748.0,5883.0,15665.0,1734.0,1311.0,486.0,1626.0,55146.0,7558.0,4778.0,1693.0,812.0,1530.0,16371.0,7871.0,1318.0,3336.0,28896.0,605.0,,24804.0,841.0,55146.0,3969.0,14.0,3977.0,3991.0,,71.0,1178.0,681.0,474.0,115.0,-324.0,2124.0,-1505.0,-10.0,,,,,,-1515.0,-1230.0,-2.0,-356.0,-31.0,,70.0,-1549.0,42.0,-898.0,17723.0,16825.0,9874.0,332.0,10206.0,801.0,951.0,11958.0,7119.0,234.0,7307.0,781.0,986.0,9074.0,2884.0,576.0,973.0,23.0,1572.0,1312.0,10.0,-75.0,45.0,1293.0,115.0,1178.0,36.0,1142.0,1.18,1.02,971.0,1119.0,2021-06-30,235.365522140625
7,16065.0,,1962.0,5199.0,1746.0,25002.0,4167.0,5821.0,17298.0,1962.0,1260.0,470.0,1854.0,57834.0,8260.0,5443.0,1801.0,831.0,1716.0,18051.0,6438.0,1365.0,3486.0,29340.0,605.0,,27053.0,836.0,57834.0,4531.0,14.0,2101.0,2115.0,14.0,72.0,1659.0,761.0,475.0,253.0,-1.0,3147.0,-1819.0,-6.0,,,-30.0,,,-1855.0,-2091.0,-1.0,562.0,-43.0,,192.0,-1381.0,-42.0,-131.0,16825.0,16694.0,11672.0,385.0,12057.0,806.0,894.0,13757.0,8150.0,234.0,8384.0,803.0,986.0,10097.0,3660.0,611.0,994.0,51.0,1656.0,2004.0,11.0,-126.0,-6.0,1882.0,223.0,1659.0,41.0,1618.0,1.62,1.44,998.0,1123.0,2021-09-30,335.38968703125
8,17576.0,131.0,1913.0,5757.0,1723.0,27100.0,4511.0,5765.0,18884.0,2016.0,1260.0,457.0,2138.0,62131.0,10025.0,5719.0,1447.0,925.0,1589.0,19705.0,5245.0,2052.0,3546.0,30548.0,568.0,,30189.0,826.0,62131.0,3952.0,14.0,1376.0,1390.0,10.0,65.0,2343.0,848.0,558.0,-19.0,855.0,4585.0,-1810.0,-4.0,,,-102.0,,,-1916.0,-860.0,-1.0,-596.0,-63.0,,262.0,-1257.0,38.0,1450.0,16694.0,18144.0,15339.0,628.0,15967.0,688.0,1064.0,17719.0,10689.0,234.0,11085.0,739.0,1048.0,12872.0,4847.0,740.0,1494.0,,2234.0,2613.0,25.0,-71.0,68.0,2635.0,292.0,2343.0,22.0,2321.0,2.29,2.05,1015.0,1135.0,2021-12-31,311.46725558064514
9,18013.0,2311.0,6691.0,2035.0,29050.0,4745.0,5686.0,20027.0,2181.0,1261.0,454.0,2634.0,66038.0,11171.0,5906.0,1594.0,1125.0,1659.0,21455.0,5245.0,2052.0,3546.0,32298.0,459.0,33366.0,915.0,66038.0,3333.0,13.0,74.0,88.0,12.0,72.0,,,3280.0,880.0,418.0,19.0,-602.0,3995.0,-1767.0,-5.0,,-386.0,,,-9.0,-2167.0,-1436.0,-632.0,-48.0,202.0,-1914.0,-18.0,-104.0,18144.0,18040.0,,,15514.0,679.0,16861.0,616.0,1279.0,18756.0,10914.0,408.0,11522.0,688.0,1048.0,13296.0,5460.0,865.0,1492.0,,1857.0,3603.0,25.0,-61.0,56.0,3626.0,346.0,3280.0,38.0,3318.0,1.07,0.95,3103.0,3472.0,2022-03-31,272.9594097419355
10,18915.0,2081.0,8108.0,2118.0,31222.0,4782.0,5624.0,21093.0,2185.0,218.0,437.0,2952.0,68513.0,11212.0,6037.0,1858.0,1182.0,1532.0,21821.0,3153.0,2210.0,3926.0,30355.0,421.0,36376.0,1361.0,68513.0,3086.0,11.0,53.0,66.0,9.0,72.0,,,2269.0,922.0,361.0,145.0,-1346.0,2351.0,-1730.0,0.0,936.0,-90.0,,,,-884.0,-154.0,-248.0,-47.0,43.0,-406.0,-214.0,847.0,18040.0,18887.0,,,13670.0,344.0,14602.0,866.0,1645.0,16934.0,10153.0,368.0,10521.0,769.0,986.0,12776.0,4234.0,667.0,973.0,142.0,1770.0,2464.0,26.0,-44.0,28.0,2474.0,205.0,2269.0,10.0,2259.0,0.73,0.65,3111.0,3464.0,2022-06-30,279.27078215625
11,21107.0,2192.0,10327.0,2364.0,35990.0,4824.0,5562.0,21926.0,2251.0,218.0,419.0,3236.0,74426.0,13897.0,6246.0,1928.0,1083.0,1457.0,24611.0,2898.0,2295.0,4330.0,33230.0,421.0,39851.0,924.0,74426.0,2335.0,11.0,51.0,62.0,10.0,70.0,,,3331.0,956.0,362.0,220.0,231.0,5100.0,-1803.0,0.0,,-991.0,3.0,,,-2791.0,-133.0,-766.0,-42.0,229.0,-712.0,-335.0,1262.0,18887.0,20149.0,,,17785.0,621.0,18692.0,1117.0,1701.0,21454.0,13099.0,381.0,13480.0,1013.0,1579.0,16072.0,5382.0,733.0,961.0,34.0,1694.0,3688.0,86.0,-53.0,-85.0,3666.0,305.0,3331.0,39.0,3292.0,1.05,0.95,3146.0,3468.0,2022-09-30,189.34253985714287
